File,Namespace,Has i18n,String,Line,Type,Suggested Key
components\workflow-editor\node-config-panel.tsx,common,Yes,"file_exists",558,PropString,common.fileexists
components\workflow-editor\node-config-panel.tsx,common,Yes,"🗑️ File Delete",559,JSXText,common._file_delete
components\workflow-editor\node-config-panel.tsx,common,Yes,"file_delete",559,PropString,common.filedelete
components\workflow-editor\node-config-panel.tsx,common,Yes,"📋 File Copy",560,JSXText,common._file_copy
components\workflow-editor\node-config-panel.tsx,common,Yes,"file_copy",560,PropString,common.filecopy
components\workflow-editor\node-config-panel.tsx,common,Yes,"📝 File Rename",561,JSXText,common._file_rename
components\workflow-editor\node-config-panel.tsx,common,Yes,"file_rename",561,PropString,common.filerename
components\workflow-editor\node-config-panel.tsx,common,Yes,"ℹ️ File Info",562,JSXText,common._file_info
components\workflow-editor\node-config-panel.tsx,common,Yes,"file_info",562,PropString,common.fileinfo
components\workflow-editor\node-config-panel.tsx,common,Yes,"🔎 File Search",563,JSXText,common._file_search
components\workflow-editor\node-config-panel.tsx,common,Yes,"file_search",563,PropString,common.filesearch
components\workflow-editor\node-config-panel.tsx,common,Yes,"➕ File Append",564,JSXText,common._file_append
components\workflow-editor\node-config-panel.tsx,common,Yes,"file_append",564,PropString,common.fileappend
components\workflow-editor\node-config-panel.tsx,common,Yes,"📂 Directory Create",565,JSXText,common._directory_create
components\workflow-editor\node-config-panel.tsx,common,Yes,"directory_create",565,PropString,common.directorycreate
components\workflow-editor\node-config-panel.tsx,common,Yes,"outline",574,PropString,common.outline
components\workflow-editor\node-config-panel.tsx,common,Yes,"Expression",602,JSXText,common.expression
components\workflow-editor\node-config-panel.tsx,common,Yes,"expression",602,PropString,common.expression
components\workflow-editor\node-config-panel.tsx,common,Yes,"Comparison",603,JSXText,common.comparison
components\workflow-editor\node-config-panel.tsx,common,Yes,"comparison",603,PropString,common.comparison
components\workflow-editor\node-config-panel.tsx,common,Yes,"AI Decision",604,JSXText,common.ai_decision
components\workflow-editor\node-config-panel.tsx,common,Yes,"ai",604,PropString,common.ai
components\workflow-editor\node-config-panel.tsx,common,Yes,"==",634,PropString,common.
components\workflow-editor\node-config-panel.tsx,common,Yes,"!=",635,PropString,common.
components\workflow-editor\node-config-panel.tsx,common,Yes,""">Greater Than (&gt;)",636,JSXText,common.greater_than_gt
components\workflow-editor\node-config-panel.tsx,common,Yes,"Less Than (&lt;)",637,JSXText,common.less_than_lt
components\workflow-editor\node-config-panel.tsx,common,Yes,">=",638,PropString,common.
components\workflow-editor\node-config-panel.tsx,common,Yes,"<=",639,PropString,common.
components\workflow-editor\node-config-panel.tsx,common,Yes,"Contains",640,JSXText,common.contains
components\workflow-editor\node-config-panel.tsx,common,Yes,"contains",640,PropString,common.contains
components\workflow-editor\node-config-panel.tsx,common,Yes,"JavaScript",679,JSXText,common.javascript
components\workflow-editor\node-config-panel.tsx,common,Yes,"javascript",679,PropString,common.javascript
components\workflow-editor\node-config-panel.tsx,common,Yes,"TypeScript",680,JSXText,common.typescript
components\workflow-editor\node-config-panel.tsx,common,Yes,"typescript",680,PropString,common.typescript
components\workflow-editor\node-config-panel.tsx,common,Yes,"Python",681,JSXText,common.python
components\workflow-editor\node-config-panel.tsx,common,Yes,"python",681,PropString,common.python
components\workflow-editor\node-config-panel.tsx,common,Yes,"200px",690,PropString,common.200px
components\workflow-editor\node-config-panel.tsx,common,Yes,"vs-dark",692,PropString,common.vsdark
components\workflow-editor\node-config-panel.tsx,common,Yes,"For Each",731,JSXText,common.for_each
components\workflow-editor\node-config-panel.tsx,common,Yes,"forEach",731,PropString,common.foreach
components\workflow-editor\node-config-panel.tsx,common,Yes,"While",732,JSXText,common.while
components\workflow-editor\node-config-panel.tsx,common,Yes,"while",732,PropString,common.while
components\workflow-editor\node-config-panel.tsx,common,Yes,"Times",733,JSXText,common.times
components\workflow-editor\node-config-panel.tsx,common,Yes,"times",733,PropString,common.times
components\workflow-editor\node-config-panel.tsx,common,Yes,"Approve",838,JSXText,common.approve
components\workflow-editor\node-config-panel.tsx,common,Yes,"approve",838,PropString,common.approve
components\workflow-editor\node-config-panel.tsx,common,Yes,"Reject",839,JSXText,common.reject
components\workflow-editor\node-config-panel.tsx,common,Yes,"reject",839,PropString,common.reject
components\workflow-editor\node-config-panel.tsx,common,Yes,"Timeout",840,JSXText,common.timeout
components\workflow-editor\node-config-panel.tsx,common,Yes,"input",867,PropString,common.input
components\workflow-editor\node-config-panel.tsx,common,Yes,"output",892,PropString,common.output
components\workflow-editor\node-config-panel.tsx,common,Yes,"Fixed Duration",962,JSXText,common.fixed_duration
components\workflow-editor\node-config-panel.tsx,common,Yes,"fixed",962,PropString,common.fixed
components\workflow-editor\node-config-panel.tsx,common,Yes,"Until Time",963,JSXText,common.until_time
components\workflow-editor\node-config-panel.tsx,common,Yes,"until",963,PropString,common.until
components\workflow-editor\node-config-panel.tsx,common,Yes,"Cron Schedule",964,JSXText,common.cron_schedule
components\workflow-editor\node-config-panel.tsx,common,Yes,"cron",964,PropString,common.cron
components\workflow-editor\node-config-panel.tsx,common,Yes,"GET",1087,JSXText,common.get
components\workflow-editor\node-config-panel.tsx,common,Yes,"POST",1088,JSXText,common.post
components\workflow-editor\node-config-panel.tsx,common,Yes,"PUT",1089,JSXText,common.put
components\workflow-editor\node-config-panel.tsx,common,Yes,"DELETE",1090,JSXText,common.delete
components\workflow-editor\node-config-panel.tsx,common,Yes,"Map",1136,JSXText,common.map
components\workflow-editor\node-config-panel.tsx,common,Yes,"map",1136,PropString,common.map
components\workflow-editor\node-config-panel.tsx,common,Yes,"Filter",1137,JSXText,common.filter
components\workflow-editor\node-config-panel.tsx,common,Yes,"filter",1137,PropString,common.filter
components\workflow-editor\node-config-panel.tsx,common,Yes,"Reduce",1138,JSXText,common.reduce
components\workflow-editor\node-config-panel.tsx,common,Yes,"reduce",1138,PropString,common.reduce
components\workflow-editor\node-config-panel.tsx,common,Yes,"Sort",1139,JSXText,common.sort
components\workflow-editor\node-config-panel.tsx,common,Yes,"sort",1139,PropString,common.sort
components\workflow-editor\node-config-panel.tsx,common,Yes,"Custom",1140,JSXText,common.custom
components\workflow-editor\node-config-panel.tsx,common,Yes,"custom",1140,PropString,common.custom
components\workflow-editor\node-config-panel.tsx,common,Yes,"Concat (Array)",1183,JSXText,common.concat_array
components\workflow-editor\node-config-panel.tsx,common,Yes,"concat",1183,PropString,common.concat
components\workflow-editor\node-config-panel.tsx,common,Yes,"Merge (Object)",1184,JSXText,common.merge_object
components\workflow-editor\node-config-panel.tsx,common,Yes,"merge",1184,PropString,common.merge
components\workflow-editor\node-config-panel.tsx,common,Yes,"First Value",1185,JSXText,common.first_value
components\workflow-editor\node-config-panel.tsx,common,Yes,"first",1185,PropString,common.first
components\workflow-editor\node-config-panel.tsx,common,Yes,"Last Value",1186,JSXText,common.last_value
components\workflow-editor\node-config-panel.tsx,common,Yes,"last",1186,PropString,common.last
components\workflow-editor\node-config-panel.tsx,common,Yes,"Custom",1187,JSXText,common.custom
components\workflow-editor\node-config-panel.tsx,common,Yes,"custom",1187,PropString,common.custom
components\workflow-editor\node-config-panel.tsx,common,Yes,"outline",1253,PropString,common.outline
components\workflow-editor\node-config-panel.tsx,common,Yes,"String",1286,JSXText,common.string
components\workflow-editor\node-config-panel.tsx,common,Yes,"string",1286,PropString,common.string
components\workflow-editor\node-config-panel.tsx,common,Yes,"Number",1287,JSXText,common.number
components\workflow-editor\node-config-panel.tsx,common,Yes,"Boolean",1288,JSXText,common.boolean
components\workflow-editor\node-config-panel.tsx,common,Yes,"boolean",1288,PropString,common.boolean
components\workflow-editor\node-config-panel.tsx,common,Yes,"Object",1289,JSXText,common.object
components\workflow-editor\node-config-panel.tsx,common,Yes,"object",1289,PropString,common.object
components\workflow-editor\node-config-panel.tsx,common,Yes,"Array",1290,JSXText,common.array
components\workflow-editor\node-config-panel.tsx,common,Yes,"array",1290,PropString,common.array
components\workflow-editor\node-config-panel.tsx,common,Yes,"ghost",1294,PropString,common.ghost
components\workflow-editor\node-config-panel.tsx,common,Yes,"icon",1295,PropString,common.icon
components\settings\vector-manager.tsx,common,No,"Collections & Search",253,JSXText,common.collections_search
components\settings\vector-manager.tsx,common,No,"Manage collections, clear data, and run vector searches.",254,JSXText,common.manage_collections_clear_data_and_run_vector_searc
components\settings\vector-manager.tsx,common,No,"Active collection",259,JSXText,common.active_collection
components\settings\vector-manager.tsx,common,No,"outline",272,PropString,common.outline
components\settings\vector-manager.tsx,common,No,"sm",272,PropString,common.sm
components\settings\vector-manager.tsx,common,No,"Create new collection",278,JSXText,common.create_new_collection
components\settings\vector-manager.tsx,common,No," setActionMessage(null)}>×",296,JSXText,common._setactionmessagenull
components\settings\vector-manager.tsx,common,No,"ghost",296,PropString,common.ghost
components\settings\vector-manager.tsx,common,No,"sm",296,PropString,common.sm
components\settings\vector-manager.tsx,common,No,"outline",326,PropString,common.outline
components\settings\vector-manager.tsx,common,No,"outline",329,PropString,common.outline
components\settings\vector-manager.tsx,common,No,"outline",332,PropString,common.outline
components\settings\vector-manager.tsx,common,No,"outline",335,PropString,common.outline
components\settings\vector-manager.tsx,common,No,"outline",338,PropString,common.outline
components\settings\vector-manager.tsx,common,No,"outline",341,PropString,common.outline
components\settings\vector-manager.tsx,common,No,"file",346,PropString,common.file
components\settings\vector-manager.tsx,common,No,"sm",363,PropString,common.sm
components\settings\vector-manager.tsx,common,No,"sm",366,PropString,common.sm
components\settings\vector-manager.tsx,common,No,"ghost",366,PropString,common.ghost
components\settings\vector-manager.tsx,common,No,"outline",371,PropString,common.outline
components\settings\vector-manager.tsx,common,No,"sm",371,PropString,common.sm
components\settings\vector-manager.tsx,common,No,"Add document",380,JSXText,common.add_document
components\settings\vector-manager.tsx,common,No,"Query",406,JSXText,common.query
components\settings\vector-manager.tsx,common,No,"Top K",414,JSXText,common.top_k
components\settings\vector-manager.tsx,common,No,"number",416,PropString,common.number
components\settings\vector-manager.tsx,common,No,"Threshold (0-1)",423,JSXText,common.threshold_01
components\settings\vector-manager.tsx,common,No,"number",425,PropString,common.number
components\settings\vector-manager.tsx,common,No,"Filter (JSON)",434,JSXText,common.filter_json
components\settings\vector-manager.tsx,common,No,"Sort",443,JSXText,common.sort
components\settings\vector-manager.tsx,common,No,"sm",447,PropString,common.sm
components\settings\vector-manager.tsx,common,No,"sm",454,PropString,common.sm
components\settings\vector-manager.tsx,common,No,"sm",463,PropString,common.sm
components\settings\vector-manager.tsx,common,No,"sm",470,PropString,common.sm
components\settings\vector-manager.tsx,common,No,"sm",477,PropString,common.sm
components\settings\vector-manager.tsx,common,No,"ghost",485,PropString,common.ghost
components\settings\vector-manager.tsx,common,No,"sm",486,PropString,common.sm
components\settings\vector-manager.tsx,common,No,"text-muted-foreground",492,PropString,common.textmutedforeground
components\settings\vector-manager.tsx,common,No,"Page Size",498,JSXText,common.page_size
components\settings\vector-manager.tsx,common,No,"number",500,PropString,common.number
components\settings\vector-manager.tsx,common,No," 0 && ",517,JSXText,common._0_
components\settings\vector-manager.tsx,common,No,"text-muted-foreground",517,PropString,common.textmutedforeground
components\settings\vector-manager.tsx,common,No,"outline",521,PropString,common.outline
components\settings\vector-manager.tsx,common,No,"sm",522,PropString,common.sm
components\settings\vector-manager.tsx,common,No,"text-muted-foreground",528,PropString,common.textmutedforeground
components\settings\vector-manager.tsx,common,No,"outline",532,PropString,common.outline
components\settings\vector-manager.tsx,common,No,"sm",533,PropString,common.sm
components\settings\vector-manager.tsx,common,No,"No results",544,JSXText,common.no_results
components\settings\vector-manager.tsx,common,No,"outline",552,PropString,common.outline
components\settings\vector-manager.tsx,common,No,"ghost",568,PropString,common.ghost
components\settings\vector-manager.tsx,common,No,"sm",569,PropString,common.sm
components\settings\vector-manager.tsx,common,No,"Peek (first N)",591,JSXText,common.peek_first_n
components\settings\vector-manager.tsx,common,No,"number",594,PropString,common.number
components\settings\vector-manager.tsx,common,No,"outline",600,PropString,common.outline
components\agent\workflow-selector.tsx,common,Yes,"outline",227,PropString,common.outline
components\agent\workflow-selector.tsx,common,Yes,"sm",228,PropString,common.sm
components\agent\workflow-selector.tsx,common,Yes,"destructive",244,PropString,common.destructive
components\agent\workflow-selector.tsx,common,Yes,"sm",245,PropString,common.sm
components\agent\workflow-selector.tsx,common,Yes,"text-muted-foreground",302,PropString,common.textmutedforeground
components\agent\workflow-selector.tsx,common,Yes,"outline",337,PropString,common.outline
components\agent\workflow-selector.tsx,common,Yes,"secondary",373,PropString,common.secondary
components\agent\workflow-selector.tsx,common,Yes,"outline",377,PropString,common.outline
components\agent\workflow-selector.tsx,common,Yes,"basic",462,PropString,common.basic
components\agent\workflow-selector.tsx,common,Yes,"basic",464,PropString,common.basic
components\agent\workflow-selector.tsx,common,Yes,"templates",465,PropString,common.templates
components\agent\workflow-selector.tsx,common,Yes,"advanced",466,PropString,common.advanced
components\agent\workflow-selector.tsx,common,Yes,"basic",469,PropString,common.basic
components\agent\workflow-selector.tsx,common,Yes,"topic",471,PropString,common.topic
components\agent\workflow-selector.tsx,common,Yes,"topic",473,PropString,common.topic
components\agent\workflow-selector.tsx,common,Yes,"description",481,PropString,common.description
components\agent\workflow-selector.tsx,common,Yes,"description",483,PropString,common.description
components\agent\workflow-selector.tsx,common,Yes,"slideCount",493,PropString,common.slidecount
components\agent\workflow-selector.tsx,common,Yes,"slideCount",495,PropString,common.slidecount
components\agent\workflow-selector.tsx,common,Yes,"style",507,PropString,common.style
components\agent\workflow-selector.tsx,common,Yes,"style",517,PropString,common.style
components\agent\workflow-selector.tsx,common,Yes,"Professional",521,JSXText,common.professional
components\agent\workflow-selector.tsx,common,Yes,"professional",521,PropString,common.professional
components\agent\workflow-selector.tsx,common,Yes,"Creative",522,JSXText,common.creative
components\agent\workflow-selector.tsx,common,Yes,"creative",522,PropString,common.creative
components\agent\workflow-selector.tsx,common,Yes,"Minimal",523,JSXText,common.minimal
components\agent\workflow-selector.tsx,common,Yes,"minimal",523,PropString,common.minimal
components\agent\workflow-selector.tsx,common,Yes,"Academic",524,JSXText,common.academic
components\agent\workflow-selector.tsx,common,Yes,"academic",524,PropString,common.academic
components\agent\workflow-selector.tsx,common,Yes,"Casual",525,JSXText,common.casual
components\agent\workflow-selector.tsx,common,Yes,"casual",525,PropString,common.casual
components\agent\workflow-selector.tsx,common,Yes,"templates",532,PropString,common.templates
components\agent\workflow-selector.tsx,common,Yes,"advanced",560,PropString,common.advanced
components\agent\workflow-selector.tsx,common,Yes,"targetAudience",562,PropString,common.targetaudience
components\agent\workflow-selector.tsx,common,Yes,"targetAudience",564,PropString,common.targetaudience
components\agent\workflow-selector.tsx,common,Yes,"language",572,PropString,common.language
components\agent\workflow-selector.tsx,common,Yes,"language",577,PropString,common.language
components\agent\workflow-selector.tsx,common,Yes,"English",581,JSXText,common.english
components\agent\workflow-selector.tsx,common,Yes,"en",581,PropString,common.en
components\agent\workflow-selector.tsx,common,Yes,"中文",582,JSXText,common.
components\agent\workflow-selector.tsx,common,Yes,"zh",582,PropString,common.zh
components\agent\workflow-selector.tsx,common,Yes,"日本語",583,JSXText,common.
components\agent\workflow-selector.tsx,common,Yes,"ja",583,PropString,common.ja
components\agent\workflow-selector.tsx,common,Yes,"한국어",584,JSXText,common.
components\agent\workflow-selector.tsx,common,Yes,"ko",584,PropString,common.ko
components\agent\workflow-selector.tsx,common,Yes,"Español",585,JSXText,common.espaol
components\agent\workflow-selector.tsx,common,Yes,"es",585,PropString,common.es
components\agent\workflow-selector.tsx,common,Yes,"Français",586,JSXText,common.franais
components\agent\workflow-selector.tsx,common,Yes,"fr",586,PropString,common.fr
components\agent\workflow-selector.tsx,common,Yes,"Deutsch",587,JSXText,common.deutsch
components\agent\workflow-selector.tsx,common,Yes,"de",587,PropString,common.de
components\settings\skill-settings.tsx,common,No,"Built-in",124,JSXText,common.builtin
components\settings\skill-settings.tsx,common,No,"secondary",124,PropString,common.secondary
components\settings\skill-settings.tsx,common,No,"Active",127,JSXText,common.active
components\settings\skill-settings.tsx,common,No,"default",127,PropString,common.default
components\settings\skill-settings.tsx,common,No,"ghost",157,PropString,common.ghost
components\settings\skill-settings.tsx,common,No,"sm",157,PropString,common.sm
components\settings\skill-settings.tsx,common,No,"Category:",168,JSXText,common.category
components\settings\skill-settings.tsx,common,No,"Source:",169,JSXText,common.source
components\settings\skill-settings.tsx,common,No,"Version:",170,JSXText,common.version
components\settings\skill-settings.tsx,common,No,"Used:",172,JSXText,common.used
components\settings\skill-settings.tsx,common,No,"destructive",176,PropString,common.destructive
components\settings\skill-settings.tsx,common,No,"Validation Errors",178,JSXText,common.validation_errors
components\settings\skill-settings.tsx,common,No,"sm",189,PropString,common.sm
components\settings\skill-settings.tsx,common,No,"sm",192,PropString,common.sm
